"Tweet ID","Tweet Text","Type","Author Name","Author Username","Creation Time","Reply Count","Retweet Count","Quote Count","Like Count","View Count","Bookmark Count","Language","Possibly Sensitive","Source","Hashtags","Tweet URL","Media Type","Media URLs","External URLs"
"=""1829139390901215250""","Woman who stole mobility scooter and left disabled man to die in freezing weather jailed for six-and-a-half years
https://t.co/t6ElI3qN3K","Tweet","BBC Breaking News","BBCBreaking","29/8/2024, 6:19:49 pm","194","124","39","582","268510","33","en","No","SocialFlow","","https://x.com/BBCBreaking/status/1829139390901215250","","","https://bbc.in/47achZR"
"=""1828889219000926333""","Telegram chief Pavel Durov placed under formal investigation in France and banned from leaving country, prosecutor says https://t.co/3JcHJ6zu6N","Tweet","BBC Breaking News","BBCBreaking","29/8/2024, 1:45:43 am","149","157","17","585","325265","28","en","No","SocialFlow","","https://x.com/BBCBreaking/status/1828889219000926333","","","https://bbc.in/4dAYL3U"
"=""1828748677566865444""","At least nine Palestinians killed as Israel launches operation in occupied West Bank, and troops surround Jenin hospital - follow live
https://t.co/1zLgPddE47","Tweet","BBC Breaking News","BBCBreaking","28/8/2024, 4:27:15 pm","236","168","18","299","303710","18","en","No","SocialFlow","","https://x.com/BBCBreaking/status/1828748677566865444","","","https://bbc.in/478L0Hd"
"=""1828471948101251257""","Two men charged with four counts of murder and one attempted murder after house fire killed mother and her three children in Bradford , UK https://t.co/NqN3BITx1u","Tweet","BBC Breaking News","BBCBreaking","27/8/2024, 10:07:38 pm","0","81","17","314","329494","18","en","No","SocialFlow","","https://x.com/BBCBreaking/status/1828471948101251257","","","https://bbc.in/3XlqMqE"
"=""1828415564307403177""","Israel says it has rescued a hostage being held by Hamas during a ""complex"" operation in southern Gaza https://t.co/SSghCmOOZ8","Tweet","BBC Breaking News","BBCBreaking","27/8/2024, 6:23:35 pm","192","99","12","616","311600","10","en","No","SocialFlow","","https://x.com/BBCBreaking/status/1828415564307403177","","","https://bbc.in/3MHrVml"
"=""1828392070802813322""","Ukraine says it has made further advances during Kursk incursion and controls 100 Russian settlements - follow live https://t.co/yI3wLfFWA7","Tweet","BBC Breaking News","BBCBreaking","27/8/2024, 4:50:14 pm","81","80","5","396","242332","2","en","No","SocialFlow","","https://x.com/BBCBreaking/status/1828392070802813322","","","https://bbc.in/3XiMMlW"
"=""1828391464998412437""","Three arrested over stabbing of woman believed to have been caught up in a fight between two groups of men at Notting Hill Carnival https://t.co/RfpyIEi4lG","Tweet","BBC Breaking News","BBCBreaking","27/8/2024, 4:47:49 pm","19","56","16","258","279342","9","en","No","SocialFlow","","https://x.com/BBCBreaking/status/1828391464998412437","","","https://bbc.in/3MiB2cS"
"=""1828328726024630398""","Oasis to reunite for world tour next year kicking off in Cardiff, Manchester and London, 15 years after band broke up

Follow live: https://t.co/RWRDGeFBuB","Tweet","BBC Breaking News","BBCBreaking","27/8/2024, 12:38:31 pm","223","429","133","2045","526878","38","en","No","SocialFlow","","https://x.com/BBCBreaking/status/1828328726024630398","","","https://bbc.in/3YZrfzM"
"=""1828032301386633699""","Former England football manager Sven-Goran Eriksson has died aged 76
 
Read more: https://t.co/OxjvVRjrjf","Tweet","BBC Breaking News","BBCBreaking","26/8/2024, 5:00:38 pm","185","305","91","1526","411547","22","en","No","SocialFlow","","https://x.com/BBCBreaking/status/1828032301386633699","","","https://bbc.in/3Z1zmfu"
"=""1828014522705076573""","At least three people killed and dozens injured as wave of Russian strikes hit key energy targets in Ukraine
 
Follow live: https://t.co/8qY5keug7R","Tweet","BBC Breaking News","BBCBreaking","26/8/2024, 3:49:59 pm","88","90","6","226","255251","7","en","No","SocialFlow","","https://x.com/BBCBreaking/status/1828014522705076573","","","https://bbc.in/3Z0OZng"
"=""1827976719833161980""","Major incident declared and search and rescue continues after fire at block of flats in London
 
Follow live: https://t.co/BIEImkg8Sm","Tweet","BBC Breaking News","BBCBreaking","26/8/2024, 1:19:46 pm","111","112","13","338","373428","23","en","No","SocialFlow","","https://x.com/BBCBreaking/status/1827976719833161980","","","https://bbc.in/3ABBUqv"
"=""1827396834903413221""","Two astronauts whose eight-day mission got stuck in space will return to Earth on SpaceX ship next year, Nasa says
Watch live: https://t.co/3kJ8lsEB2v","Tweet","BBC Breaking News","BBCBreaking","24/8/2024, 10:55:31 pm","330","236","146","884","649157","63","en","No","SocialFlow","","https://x.com/BBCBreaking/status/1827396834903413221","","","https://bbc.in/4gcza3d"
